head,action,tail
sin(A)cos(B),belongs to,sinAcosB = 1/2(sin(A+B) + sin(A-B))
tan(A)tan(B),belongs to,tanAtanB = (tanA + tanB)/(cotA + cotB)
tan(A)cot(B),belongs to,tanAcotB = (tanA + cotB)/(cot(A) + tan(B))
cos(A-B) - cos(A+B),belongs to,sinAsinB = 1/2(cos(A-B) - cos(A+B))
cos(A-B) + cos(A + B),belongs to,cosAcosB = 1/2(cos(A-B) + cos(A + B))
sin(A+B) + sin(A-B),belongs to,sinAcosB = 1/2(sin(A+B) + sin(A-B))
(tan(A) + tan(B))/(cot(A) + cot(B)),belongs to,tanAtanB = (tanA + tanB)/(cotA + cotB)
(tan(A) + cot(B))/(cot(A) + tan((B))),belongs to,tanAcotB = (tanA + cotB)/(cot(A) + tan(B))
2sin((A+B)/2)cos((A-B)/2),belongs to,sinA + sinB = 2sin((A+B)/2)cos((A-B)/2)
2cos((A+B)/2)sin((A-B)/2),belongs to,sinA - sinB = 2cos((A+B)/2)sin((A-B)/2)
2cos((A+B)/2)cos((A-B)/2),belongs to,cosA + cosB = 2cos((A+B)/2)cos((A-B)/2)
-2sin((A+B)/2)sin((A-B)/2),belongs to,cosA - cosB = -2sin((A+B)/2)sin((A-B)/2)
sin(A+B)/(cos(A)cos(B)),belongs to,tanA + tanB = sin(A+B)/(cosAcosB)
sin(A-B)/(cos(A)cos(B)),belongs to,tanA - tanB = sin(A-B)/(cosAcosB)
sin(A) + sin(B),belongs to,sinA + sinB = 2sin((A+B)/2)cos((A-B)/2)
sin(A) - sin(B),belongs to,sinA - sinB = 2cos((A+B)/2)sin((A-B)/2)
cos(A) + cos(B),belongs to,cosA + cosB = 2cos((A+B)/2)cos((A-B)/2)
cos(A) - cos(B),belongs to,cosA - cosB = -2sin((A+B)/2)sin((A-B)/2)
tan(A) + tan(B),belongs to,tanA + tanB = sin(A+B)/(cosAcosB)
tan(A) - tan(B),belongs to,tanA - tanB = sin(A-B)/(cosAcosB)
(sin(A))^4,belongs to,(sin(A)^4 = (-4cos(2A) +cos(4A) +3)/8
(cos(A))^4,belongs to,(cos(A))^4 =  (4cos(2A) + cos(4A) + 3)/8
(sin(A))^3,belongs to,(sin(A))^3 = (-sin(3A) + 3sin(A))/4
(cos(A))^3,belongs to,(cos(A))^3 = (cos(3A) + 3cos(A))/4
(sin(A))^2,belongs to,(1-cos2A)/2
(cos(A))^2,belongs to,(1+cos2A)/2
(tan(A))^2,belongs to,(1-cos2A)/(1+cos2A)
sin(A),A = \pi/2-X,sin(\pi/2 - X) = cosX
cos(A),A = \pi/2-X,cos(\pi/2 - X) = sinX
tan(A),A = \pi/2-X,tan(\pi/2 - X) = cotX
cot(A) ,A = \pi/2-X,cot(\pi/2 - X) = tanX
sec(A),A = \pi/2-X,sec(\pi/2 - X) = cscX
csc(A),A = \pi/2-X,csc(\pi/2 - X) = secX
sin(A),A = \pi-X,sin(\pi-X) = sinX
cos(A),A = \pi-X,cos(\pi-X) = -cosX
tan(A),A = \pi-X,tan(\pi-X) = -tanX
cot(A) ,A = \pi-X,cot(\pi-X) = -cotX
sec(A),A = \pi-X,sec(\pi-X) = -secX
csc(A),A = \pi-X,csc(\pi-X) = cscX
sin(A),A = 3\pi/2-X,sin(3\pi/2 - X) = -cosX
cos(A),A = 3\pi/2-X,cos(3\pi/2 - X) = -sinX
tan(A),A = 3\pi/2-X,tan(3\pi/2 - X) = cotX
cot(A) ,A = 3\pi/2-X,cot(3\pi/2 - X) = tanX
sec(A),A = 3\pi/2-X,sec(3\pi/2 - X) = -cscX
csc(A),A = 3\pi/2-X,csc(3\pi/2 - X) = -secX
sin(A),A = 90-X,sin(90 - X) = cosX
cos(A),A = 90-X,cos(90 - X) = sinX
tan(A),A = 90-X,tan(90 - X) = cotX
cot(A) ,A = 90-X,cot(90 - X) = tanX
sec(A),A = 90-X,sec(90 - X) = cscX
csc(A),A = 90-X,csc(90 - X) = secX
